Time,Temp,Press,KE,PE,Etot,Vol
219.999,573.084694024823,3680.70025207376,222.156954930141,-14306.1303433659,-14083.9733884358,55134.3755443119
220.999,569.911014886923,506.993811737752,220.926674483721,-14315.6385036911,-14094.7118292073,55244.3465401314
221.999,564.889469550756,-132.349462945979,218.980066534568,-14313.0494897504,-14094.0694232159,55295.7207280265
222.999,571.329004677078,-166.712347028734,221.476359891807,-14310.5032009574,-14089.0268410656,55313.7651549597
223.999,570.924913102665,-243.251850447777,221.319713318237,-14312.6018647042,-14091.2821513859,55303.6638712043
224.999,571.026165625427,-3416.86362459437,221.358963977643,-14307.4428582314,-14086.0838942538,55516.4969955562
225.999,569.059814760964,-398.564824852958,220.596705754857,-14315.1054331367,-14094.5087273818,55302.5171138423
226.999,566.213201166033,442.41232411534,219.493212650423,-14307.1210213763,-14087.6278087258,55304.5998477996
227.999,571.6820610418,450.37396781848,221.613222606382,-14305.6909209854,-14084.077698379,55309.0814425489
228.999,576.062353103213,-2021.72267543216,223.311247970196,-14299.2249953499,-14075.9137473797,55481.6780990987
229.999,574.081439451884,1825.2050925968,222.543344465972,-14307.3406514032,-14084.7973069372,55227.3823544892
230.999,573.35125142837,296.018480877771,222.260286220792,-14306.0929781819,-14083.8326919611,55318.4384908735
231.999,573.767866820313,-857.379643843586,222.421787666942,-14305.8712351094,-14083.4494474425,55369.9032611269
232.999,584.586578541134,1579.19403080223,226.615673975935,-14305.3534682053,-14078.7377942294,55240.7531959456
233.999,581.250690967931,-659.165722731965,225.322513238999,-14300.3691958741,-14075.0466826351,55394.1010313587
234.999,578.65799684431,-1342.7400956014,224.317452315938,-14314.2837572659,-14089.96630495,55368.5583628163
235.999,586.121443330034,1189.5762151566,227.210666114596,-14302.8295983508,-14075.6189322362,55279.5215227911
236.999,584.586046027976,278.784058040146,226.615467546584,-14294.6931154899,-14068.0776479433,55376.1596341243
237.999,578.170950915932,-511.768292801165,224.128648389594,-14301.7909019557,-14077.6622535661,55376.0849545303
238.999,587.797682663451,12.3330281241406,227.860462261533,-14306.4985739092,-14078.6381116476,55330.5820577376
239.999,592.866402480506,1127.39813014135,229.825357453625,-14298.4457656035,-14068.6204081499,55316.0321486908
240.999,580.137501697761,-2168.22485243097,224.890984110582,-14293.8939985947,-14069.0030144841,55521.485484918
241.999,584.597639823462,439.722470314243,226.619961895025,-14308.9804608888,-14082.3604989938,55287.2931176789
242.999,596.16102090893,247.356600328505,231.102520158103,-14299.8771211012,-14068.7746009431,55356.2186176399
243.999,577.928984784471,-705.762265560571,224.034849934458,-14300.8371994135,-14076.802349479,55401.3885458822
244.999,588.371689350699,341.286234996643,228.082976628219,-14295.9577734219,-14067.8747967937,55374.9659309167
245.999,602.919325258422,1989.00200152235,233.722384779211,-14297.668857337,-14063.9464725578,55270.6110067283
246.999,588.440029002271,-573.107157695178,228.109468574441,-14301.1058699188,-14072.9964013444,55388.8652137659
247.999,585.083913109652,-849.729696829468,226.808466305717,-14288.2163489236,-14061.4078826179,55472.300303263
248.999,579.709251909593,1616.33128645915,224.724972577067,-14301.0173429054,-14076.2923703283,55268.7350988705
249.999,612.079114630426,-206.452053557948,237.273187890693,-14298.0515701569,-14060.7783822662,55401.8631425963
250.999,599.309960291758,-233.716190803559,232.323210209403,-14294.3851590682,-14062.0619488588,55407.7222875228
251.999,620.979859128794,2161.18427957721,240.723571952569,-14291.5913919393,-14050.8678199867,55295.8764033107
252.999,609.786743060361,-1996.19848237633,236.384547358353,-14298.8805962155,-14062.4960488571,55497.0728219762
253.999,607.93329591512,-804.541863114434,235.666056394969,-14289.3751076738,-14053.7090512788,55474.4020379104
254.999,605.12355089232,1081.99077962344,234.576855435837,-14295.7980047605,-14061.2211493246,55329.3158326758
255.999,614.662889858602,405.164715277935,238.274791393457,-14290.0823960605,-14051.807604667,55400.9993380447
256.999,604.010799523828,-446.856857678499,234.14549606052,-14285.9539534148,-14051.8084573543,55476.6204533096
257.999,608.14720663041,403.044013442027,235.748979135065,-14295.457151411,-14059.7081722759,55381.256920492
258.999,625.588857386856,79.1421811190013,242.510255542212,-14283.6906299666,-14041.1803744244,55459.4788612063
259.999,616.128011948048,-1897.05727471857,238.842747692736,-14298.8387435558,-14059.995995863,55492.3121321063
260.999,618.430323955639,-852.047216331693,239.735241647362,-14289.0233585692,-14049.2881169218,55488.4342127759
261.999,615.489033924014,4375.49858725292,238.595047111013,-14293.5093169079,-14054.9142697969,55176.0380690992
262.999,617.510292637395,-239.197774882508,239.378590425941,-14278.6916290473,-14039.3130386214,55499.1607628016
263.999,607.962863660053,-136.737658295177,235.67751836603,-14287.8359204048,-14052.1584020387,55448.8913513685
264.999,615.136762122273,1667.98172016403,238.4584885332,-14289.1718247458,-14050.7133362126,55341.7863305211
265.999,633.323440796477,856.973882391726,245.508575887965,-14288.4926078527,-14042.9840319647,55401.4080149516
266.999,629.141555650115,-2118.43769945345,243.887463197869,-14285.0454199056,-14041.1579567077,55583.3705396014
267.999,636.678074570456,-691.315484140011,246.809003611657,-14294.6714244959,-14047.8624208842,55461.4441178985
268.999,631.803831621872,764.619081465852,244.919497606109,-14282.3356398175,-14037.4161422114,55425.2085138302
269.999,624.943729306072,-588.914442856194,242.260170883764,-14292.5921490023,-14050.3319781186,55448.453689172
270.999,636.961091449943,-2698.09403052379,246.918715437493,-14287.7548193183,-14040.8361038808,55597.1097410763
271.999,616.383432388204,1081.29883269235,238.941761726445,-14290.7088046537,-14051.7670429273,55357.5809680323
272.999,633.529393499954,418.017646142434,245.588413695433,-14283.5942525941,-14038.0058388986,55457.9818127889
273.999,620.892223866884,-1455.46494521802,240.689600040331,-14283.5969132764,-14042.9073132361,55547.50595903
274.999,645.73838039399,432.713070785445,250.321241808695,-14283.8548124885,-14033.5335706798,55439.3275145748
275.999,637.423182198856,441.809318350948,247.097845459199,-14282.2119986035,-14035.1141531443,55446.074561821
276.999,628.539711974512,-999.137673117507,243.654157789943,-14288.0284471796,-14044.3742893897,55495.9199540286
277.999,639.765561767206,2025.05205671943,248.005871650826,-14283.2816653363,-14035.2757936855,55354.7474474081
278.999,621.27306113489,-1085.89840691626,240.837232054702,-14280.6328555962,-14039.7956235415,55536.8271481716
279.999,641.808405405232,-13.9931505765806,248.797782387152,-14281.4990435073,-14032.7012611202,55486.8166710282
280.999,628.762348207589,1172.50030362442,243.74046298726,-14280.5758626633,-14036.835399676,55415.6638658353
281.999,646.601109361933,-1220.01160424142,250.6556797067,-14273.0195299341,-14022.3638502274,55591.1877453132
282.999,635.618342364137,493.165285952754,246.398197176845,-14278.7618043732,-14032.3636071964,55468.55997197
283.999,649.054940277172,1104.62022124835,251.606910143888,-14278.3246169906,-14026.7177068467,55448.1966085345
284.999,623.533502999279,-1195.80616125694,241.713494999124,-14275.5608308868,-14033.8473358877,55574.0341380706
285.999,660.562441557647,-325.291250502837,256.067806534909,-14284.9055249064,-14028.8377183715,55486.3057041876
286.999,651.544555312594,-389.192464238225,252.572012337306,-14274.9906693197,-14022.4186569824,55534.2745806021
287.999,647.228395184603,-441.39995072595,250.898847792828,-14281.9848465062,-14031.0859987134,55509.2375134624
288.999,655.888615761541,-574.152697438632,254.255992473981,-14279.0649758346,-14024.8089833606,55536.4875728266
289.999,615.561253034593,-1852.40571223991,238.623042934076,-14279.1304281396,-14040.5073852056,55590.8422483978
290.999,654.378596229916,89.9902158274934,253.670631628493,-14276.4226345846,-14022.7520029561,55502.5290198219
291.999,662.883130517356,-149.505937965103,256.967424336613,-14276.0559973771,-14019.0885730405,55522.642775083
292.999,644.518380395999,1718.97732806565,249.848307376151,-14271.78344808,-14021.9351407038,55434.832423708
293.999,645.831744104247,-747.595457249779,250.357434360665,-14278.6070424388,-14028.2496080781,55540.0727783355
294.999,650.005318517899,-392.317187696388,251.975325385462,-14273.1652600728,-14021.1899346873,55547.0777868049
295.999,654.635190410319,812.952152706985,253.770100663987,-14276.0603001404,-14022.2901994764,55471.9169913154
296.999,647.541641880328,803.677370214503,251.020278242445,-14277.7273510422,-14026.7070727997,55467.1141569751
297.999,663.241686135803,-405.039591800848,257.106418843355,-14275.4881655765,-14018.3817467332,55542.3772331264
298.999,654.885969769737,-1805.38500139109,253.867315577295,-14266.2386497907,-14012.3713342134,55670.8139577791
299.999,663.226531947128,-1115.22617507666,257.100544304312,-14275.6585689725,-14018.5580246682,55597.3824438968
300.999,671.352617307083,288.681712508683,260.25063084107,-14271.3378349699,-14011.0872041288,55550.7066102039
301.999,655.136173123851,1160.69565466747,253.96430720147,-14278.2519760045,-14024.287668803,55461.7734642081
302.999,670.784418376617,-1085.04675723197,260.030367858123,-14264.8251729411,-14004.794805083,55655.9255023693
303.999,659.809764600301,228.278627146336,255.776030428108,-14275.4077688453,-14019.6317384171,55516.9124707007
304.999,670.422216002696,-392.496556449554,259.889959682338,-14269.7290436626,-14009.8390839803,55588.5587149377
305.999,654.600828294488,-482.628594891962,253.756780149414,-14270.3726399081,-14016.6158597587,55591.1619657902
306.999,667.777599436716,1593.46413993376,258.864770963494,-14267.5620598258,-14008.6972888623,55495.7178888426
307.999,657.192859248106,-1593.61473483031,254.761583993845,-14270.3755269354,-14015.6139429416,55649.8599713094
308.999,671.195260924055,-498.455079201278,260.189631454318,-14265.8776037603,-14005.687972306,55613.1344746131
309.999,675.484526040977,1023.29992298285,261.852370116158,-14267.8111798228,-14005.9588097067,55519.0510825772
310.999,682.880438651338,-147.21760122122,264.719404328689,-14266.4402081696,-14001.7208038409,55595.4913275514
311.999,680.857699674788,3809.60219824226,263.935287188005,-14268.2087690663,-14004.2734818783,55373.810529942
312.999,666.172810338145,189.6201814622,258.242672584039,-14277.6619564237,-14019.4192838397,55519.324934345
313.999,689.847983219575,-2244.55722609162,267.420381166421,-14264.0469437961,-13996.6265626297,55727.0505729183
314.999,680.473969726384,821.511591597715,263.786533822678,-14270.9615490053,-14007.1750151826,55519.9965017456
315.999,685.815914284197,-682.030198866276,265.857344906525,-14270.127098255,-14004.2697533485,55613.8361863707
316.999,682.751699510699,-820.115714579882,264.66949844957,-14268.1375291789,-14003.4680307294,55637.5962499401
317.999,684.391683353002,871.98783681609,265.305240112783,-14263.0535072943,-13997.7482671815,55564.9099222673
318.999,679.551744737237,-108.673911480918,263.429032222155,-14270.2583963074,-14006.8293640853,55582.1608837318
319.999,670.727701762697,-611.348030283875,260.008381596104,-14264.6639448235,-14004.6555632274,55629.9258406392
320.999,671.551373394748,-973.76241705617,260.327678871963,-14265.0190629171,-14004.6913840452,55653.2564415055
321.999,688.884048215917,2977.70348966961,267.046710629769,-14259.4164988129,-13992.3697881831,55453.2844610179
322.999,699.397646775175,-403.013712338203,271.122319463219,-14262.627873227,-13991.5055537638,55638.3385362195
323.999,690.259246184841,-904.287702382323,267.57980773808,-14261.9824394755,-13994.4026317374,55668.9099581871
324.999,704.577871277364,-554.80521322121,273.130439577505,-14263.5150583498,-13990.3846187723,55641.2458029533
325.999,699.030035370363,612.973197196879,270.979814470254,-14263.6777951288,-13992.6979806585,55571.9100765485
326.999,698.643446041628,-3138.46178322616,270.829952662783,-14257.3517228742,-13986.5217702115,55825.1021671636
327.999,694.494812555654,-232.101724356134,269.221730017902,-14262.1148132586,-13992.8930832407,55640.7985944293
328.999,704.321077199374,483.796636035674,273.030893051476,-14255.9564566027,-13982.9255635512,55625.1087368374
329.999,694.023166790867,1960.23241849048,269.038895983067,-14261.6078233025,-13992.5689273194,55503.4186363069
330.999,684.726719549784,-1591.21534533243,265.435117288084,-14251.816795387,-13986.3816780989,55762.7354057061
331.999,698.553681369171,615.014257583795,270.795155282045,-14252.7250624858,-13981.9299072037,55630.5587975368
332.999,699.890476358577,2498.42234427569,271.313365430228,-14261.4214810916,-13990.1081156614,55474.4045522615
333.999,694.425122834955,-2139.56930288139,269.194714715798,-14247.3161256689,-13978.1214109531,55818.194866915
334.999,698.270976315783,-248.17085460778,270.685564335961,-14260.4687962584,-13989.7832319224,55640.5640684183
335.999,714.61783940923,1049.32692449447,277.02244501933,-14251.1791958901,-13974.1567508708,55621.3044712289
336.999,694.567347427935,789.85091982925,269.24984824636,-14256.567267863,-13987.3174196166,55607.0037937076
337.999,698.114158625731,-1165.81428310792,270.624773774175,-14254.1983534221,-13983.5735796479,55731.6090648007
338.999,723.810964688805,-321.113647303251,280.586170834546,-14254.6152782478,-13974.0291074133,55686.8013474259
339.999,702.210634938874,1645.39773256256,272.21277762973,-14260.5296271906,-13988.3168495608,55543.2346935133
340.999,698.159368366811,-847.038233249256,270.642299383419,-14247.9435591838,-13977.3012598004,55741.6974359197
341.999,710.112351963789,-417.730240374937,275.27588751781,-14258.8149927013,-13983.5391051835,55665.3582659274
342.999,713.242576110438,2556.67949703443,276.489322585818,-14249.520247582,-13973.0309249962,55542.0463504143
